"","dataset1_1","dataset1_2","dataset1_3","dataset1_4","dataset1_5","dataset1_6","dataset1_7","dataset1_8","dataset1_9","dataset1_10","dataset1_11","dataset1_12","dataset1_13","dataset1_14","dataset1_15","dataset1_16","dataset1_17","dataset1_18","dataset1_19","dataset1_20"
"fOTU405",0,0,0.000851370378859819,0,0.000163725072857657,0,9.82350437145945e-05,9.82350437145945e-05,3.27450145715315e-05,0.00180097580143423,0.000818625364288287,0,0,0,0,0,0,0,0,0.000261960116572252
"fOTU639",6.5490029143063e-05,0,0.00173548577229117,0.00232489603457874,0.00153901568486198,0,0.00265234618029405,0.000982350437145945,0.00723664822030846,0,0.00255411113657946,0,0.000622155276859098,6.5490029143063e-05,0,0.0058286125937326,0,0,0.00022921510200072,0.00065490029143063
"fOTU669",0,0,0.00065490029143063,0,0.00022921510200072,0,0.000163725072857657,0.00189921084514883,0,0,0,0.000294705131143783,0,0,0,0,6.5490029143063e-05,0,0,0
"fOTU54",0.00170274075771964,0,0.00275058122400864,0,0.000392940174858378,0,0.000753135335145224,0.00117882052457513,0.000163725072857657,0,0.00101509545171748,0,0.00258685615115099,0,0,0.00245587609286486,3.27450145715315e-05,0,0.000687645306002161,0
"fOTU496",3.27450145715315e-05,0,0,0.00360195160286846,0,0,0.000622155276859098,0.000785880349716756,0,0,0.000196470087429189,0,0,0,6.5490029143063e-05,0,0,0,0,0
"fOTU118",0.00455155702544288,0.0995120992828842,0.00255411113657946,0.222567864042699,0.0477749762598644,0,0.00180097580143423,0.0167654474606241,0.00671272798716395,0.0012443105537182,0.000327450145715315,0.0310422738138118,0.02907757293952,0.148564131111038,0.000458430204001441,0.0308785487409542,0,0.0458757654147156,0.0172238776646256,0.28756671796719
"fOTU87",0.00108058548086054,0,0.00150627067029045,0,0.00157176069943351,0,0.000523920233144504,0.00314352139886702,0,0.00065490029143063,0.000360195160286846,0.0136219260617571,0.00104784046628901,0.00065490029143063,0,0.00874291889059891,0,0.00412587183601297,0.000261960116572252,0.0102819345754609
"fOTU404",0.00533743737515963,0.00153901568486198,0.00694194308916467,0.00248862110743639,0.0030125413405809,0,0.00199744588886342,0.000327450145715315,0.00651625789973477,0,0.0175185827957693,0.00494449720030125,0.00127705556828973,0,6.5490029143063e-05,0.0076950784243099,0.000163725072857657,0,0.00311077638429549,0.000818625364288287
"fOTU1170",3.27450145715315e-05,0,0.000360195160286846,0,0.000818625364288287,0,3.27450145715315e-05,0,3.27450145715315e-05,0,0.00157176069943351,0,0,3.27450145715315e-05,3.27450145715315e-05,0.00022921510200072,0,0,0.000556665247716035,0
"fOTU209",0.000261960116572252,0.00160450571400504,3.27450145715315e-05,0,0.000392940174858378,0,0,3.27450145715315e-05,0.00121156553914666,0,0,0,0.00022921510200072,0,0,0,0,0,0,0
