"","dataset6_1","dataset6_2","dataset6_3","dataset6_4","dataset6_5","dataset6_6","dataset6_7","dataset6_8","dataset6_9","dataset6_10","dataset6_11","dataset6_12","dataset6_13","dataset6_14","dataset6_15","dataset6_16","dataset6_17","dataset6_18","dataset6_19","dataset6_20"
"bOTU11317",0.000553359683794466,0.00102766798418972,0.00114624505928854,0.000276679841897233,0.000355731225296443,0.000474308300395257,0.000355731225296443,0.000197628458498024,0.000553359683794466,3.95256916996047e-05,0.000711462450592885,0.000355731225296443,0.000355731225296443,0.000158102766798419,0.000395256916996047,0.000276679841897233,0.000988142292490119,0.000711462450592885,0.0008300395256917,0.000355731225296443
"bOTU6413",0.000988142292490119,0.000158102766798419,0.000355731225296443,0.000276679841897233,0.00118577075098814,0.000869565217391304,0.000948616600790514,0.000671936758893281,0.000988142292490119,0.000988142292490119,0.000355731225296443,0.000553359683794466,0.00114624505928854,0.000869565217391304,0.000790513833992095,0.00075098814229249,0.000553359683794466,0.00075098814229249,0.000869565217391304,0.000988142292490119
"bOTU10125",0.000197628458498024,0.00130434782608696,0.000118577075098814,0.000909090909090909,3.95256916996047e-05,0.00343873517786561,7.90513833992095e-05,0.00233201581027668,7.90513833992095e-05,0.00177865612648221,0,0.00375494071146245,3.95256916996047e-05,0.00241106719367589,0.000158102766798419,0.00173913043478261,0.000553359683794466,0.00245059288537549,7.90513833992095e-05,0.0033596837944664
"bOTU6192",0.00229249011857708,0.000355731225296443,0.00075098814229249,0.000316205533596838,0.00122529644268775,0.000632411067193676,0.00106719367588933,0.00193675889328063,0.00490118577075099,0.000711462450592885,0.00106719367588933,0.000790513833992095,0.000474308300395257,0.000869565217391304,0.00102766798418972,0.000869565217391304,0.00205533596837945,0.00138339920948617,0.0024901185770751,0.00134387351778656
"bOTU12237",0.000197628458498024,0.000316205533596838,0.000276679841897233,0.000355731225296443,7.90513833992095e-05,0.000118577075098814,0.000158102766798419,0.000158102766798419,0.000158102766798419,3.95256916996047e-05,0.000316205533596838,0.000276679841897233,7.90513833992095e-05,0.000316205533596838,7.90513833992095e-05,0.000316205533596838,0,0.000118577075098814,0.000237154150197628,0.000395256916996047
"bOTU9319",0.00205533596837945,7.90513833992095e-05,0.00106719367588933,0.000158102766798419,0.00229249011857708,0.000592885375494071,0.00201581027667984,0.000790513833992095,0.0024901185770751,0.000988142292490119,0.000671936758893281,0.000513833992094862,0.00102766798418972,0.000434782608695652,0.00106719367588933,0.000237154150197628,0.00142292490118577,0.000711462450592885,0.00122529644268775,0.000316205533596838
"bOTU6433",0.00114624505928854,0.000474308300395257,0.000237154150197628,0.000553359683794466,0.00114624505928854,0.00142292490118577,0.000790513833992095,0.00173913043478261,0.000632411067193676,0.00130434782608696,0.000197628458498024,0.00102766798418972,0.000592885375494071,0.00122529644268775,0.000513833992094862,0.000592885375494071,0.000948616600790514,0.00146245059288538,0.000909090909090909,0.0016600790513834
"bOTU8387",0.000513833992094862,0.000118577075098814,0.000158102766798419,0.000474308300395257,0.000355731225296443,0.000395256916996047,0.000592885375494071,0.000474308300395257,0.00075098814229249,0.00122529644268775,0.000158102766798419,0.000158102766798419,0.00126482213438735,0.000474308300395257,0.000395256916996047,0.000197628458498024,0.000395256916996047,0.000316205533596838,0.000237154150197628,0.000237154150197628
"bOTU14310",0.000158102766798419,0,7.90513833992095e-05,3.95256916996047e-05,0.000316205533596838,0.000197628458498024,0.000316205533596838,0.000276679841897233,0.000276679841897233,0.000790513833992095,0,0.000158102766798419,3.95256916996047e-05,0.000197628458498024,0.000158102766798419,0.000158102766798419,0.000316205533596838,0.000316205533596838,0.000434782608695652,3.95256916996047e-05
"bOTU13213",0.000355731225296443,0.00122529644268775,0.000592885375494071,0.000316205533596838,0.000197628458498024,0.000592885375494071,0.000237154150197628,0.000869565217391304,0.000592885375494071,0.000434782608695652,0.000711462450592885,0.000869565217391304,0.000237154150197628,0.00130434782608696,0.000237154150197628,0.0008300395256917,0.00102766798418972,0.00075098814229249,0.000592885375494071,0.000909090909090909
