"","Name","order","extant","Percentage","Times"
"15621","fungi_3755m.csv",0.569948186528497,0.18780186900676,0.75,63
"15622","fungi_3755m.csv",0.575129533678757,0.144683858203464,0.75,63
"15623","fungi_3755m.csv",0.580310880829015,0.0778452435378994,0.75,63
"15624","fungi_3755m.csv",0.585492227979275,0.0529737013416972,0.75,63
"15625","fungi_3755m.csv",0.590673575129534,0.023193648949669,0.75,63
"15626","fungi_3755m.csv",0.595854922279793,0.0111926847507364,0.75,63
"15627","fungi_3755m.csv",0.601036269430052,0.00561200181761983,0.75,63
"15628","fungi_3755m.csv",0.606217616580311,0,0.75,63
"15629","fungi_3755m.csv",0,13.7118969307802,0.75,64
"15630","fungi_3755m.csv",0.00518134715025907,13.4865755560336,0.75,64
"15631","fungi_3755m.csv",0.0103626943005181,13.4300702611106,0.75,64
"15632","fungi_3755m.csv",0.0155440414507772,13.4300702344933,0.75,64
"15633","fungi_3755m.csv",0.0207253886010363,13.4294789163052,0.75,64
"15634","fungi_3755m.csv",0.0259067357512953,13.4294781380621,0.75,64
"15635","fungi_3755m.csv",0.0310880829015544,13.4294781297829,0.75,64
"15636","fungi_3755m.csv",0.0362694300518135,13.4294688599985,0.75,64
"15637","fungi_3755m.csv",0.0414507772020725,13.418219255719,0.75,64
"15638","fungi_3755m.csv",0.0466321243523316,13.417106814468,0.75,64
"15639","fungi_3755m.csv",0.0518134715025907,12.4535422380805,0.75,64
"15640","fungi_3755m.csv",0.0569948186528497,12.4519382945299,0.75,64
"15641","fungi_3755m.csv",0.0621761658031088,12.4519381213444,0.75,64
"15642","fungi_3755m.csv",0.0673575129533679,12.4519229464056,0.75,64
"15643","fungi_3755m.csv",0.0725388601036269,12.4359026370967,0.75,64
"15644","fungi_3755m.csv",0.077720207253886,12.435902584608,0.75,64
"15645","fungi_3755m.csv",0.0829015544041451,12.4356650401185,0.75,64
"15646","fungi_3755m.csv",0.0880829015544041,12.4325018915753,0.75,64
"15647","fungi_3755m.csv",0.0932642487046632,12.4308000418988,0.75,64
"15648","fungi_3755m.csv",0.0984455958549223,12.4307101294107,0.75,64
"15649","fungi_3755m.csv",0.103626943005181,12.4307100937845,0.75,64
"15650","fungi_3755m.csv",0.10880829015544,12.4305327360314,0.75,64
"15651","fungi_3755m.csv",0.113989637305699,11.9354764882859,0.75,64
"15652","fungi_3755m.csv",0.119170984455959,11.9354764254022,0.75,64
"15653","fungi_3755m.csv",0.124352331606218,11.9354762163311,0.75,64
"15654","fungi_3755m.csv",0.129533678756477,11.2766518227099,0.75,64
"15655","fungi_3755m.csv",0.134715025906736,11.2766496858732,0.75,64
"15656","fungi_3755m.csv",0.139896373056995,11.2766147043193,0.75,64
"15657","fungi_3755m.csv",0.145077720207254,11.2766146188832,0.75,64
"15658","fungi_3755m.csv",0.150259067357513,11.27661424506,0.75,64
"15659","fungi_3755m.csv",0.155440414507772,11.2763055933989,0.75,64
"15660","fungi_3755m.csv",0.160621761658031,11.2763053930846,0.75,64
"15661","fungi_3755m.csv",0.16580310880829,10.7100501746926,0.75,64
"15662","fungi_3755m.csv",0.170984455958549,10.5822380000262,0.75,64
"15663","fungi_3755m.csv",0.176165803108808,10.3497422243231,0.75,64
"15664","fungi_3755m.csv",0.181347150259067,10.3495825414159,0.75,64
"15665","fungi_3755m.csv",0.186528497409326,10.3495716742314,0.75,64
"15666","fungi_3755m.csv",0.191709844559585,10.3495710044739,0.75,64
"15667","fungi_3755m.csv",0.196891191709845,10.3495707545109,0.75,64
"15668","fungi_3755m.csv",0.202072538860104,10.3468889969304,0.75,64
"15669","fungi_3755m.csv",0.207253886010363,10.3468885729817,0.75,64
"15670","fungi_3755m.csv",0.212435233160622,10.1354936825317,0.75,64
"15671","fungi_3755m.csv",0.217616580310881,10.1354929688726,0.75,64
"15672","fungi_3755m.csv",0.22279792746114,10.1354112993037,0.75,64
"15673","fungi_3755m.csv",0.227979274611399,10.1354109793703,0.75,64
"15674","fungi_3755m.csv",0.233160621761658,10.133955859702,0.75,64
"15675","fungi_3755m.csv",0.238341968911917,10.1286617435938,0.75,64
"15676","fungi_3755m.csv",0.243523316062176,10.1280480023132,0.75,64
"15677","fungi_3755m.csv",0.248704663212435,9.92317587076535,0.75,64
"15678","fungi_3755m.csv",0.253886010362694,9.88982605576975,0.75,64
"15679","fungi_3755m.csv",0.259067357512953,9.88810781796563,0.75,64
"15680","fungi_3755m.csv",0.264248704663212,9.87140363917076,0.75,64
"15681","fungi_3755m.csv",0.269430051813472,9.75825750845461,0.75,64
"15682","fungi_3755m.csv",0.274611398963731,9.74798583556264,0.75,64
"15683","fungi_3755m.csv",0.27979274611399,8.50500984160637,0.75,64
"15684","fungi_3755m.csv",0.284974093264249,8.4969934913448,0.75,64
"15685","fungi_3755m.csv",0.290155440414508,8.49483132987628,0.75,64
"15686","fungi_3755m.csv",0.295336787564767,8.22692270707462,0.75,64
"15687","fungi_3755m.csv",0.300518134715026,8.22692120244296,0.75,64
"15688","fungi_3755m.csv",0.305699481865285,8.22619952822665,0.75,64
"15689","fungi_3755m.csv",0.310880829015544,8.10581828514329,0.75,64
"15690","fungi_3755m.csv",0.316062176165803,8.10255346348559,0.75,64
"15691","fungi_3755m.csv",0.321243523316062,8.102548438615,0.75,64
"15692","fungi_3755m.csv",0.326424870466321,8.1025467347103,0.75,64
"15693","fungi_3755m.csv",0.33160621761658,8.10254313313864,0.75,64
"15694","fungi_3755m.csv",0.336787564766839,8.09421161489318,0.75,64
"15695","fungi_3755m.csv",0.341968911917098,8.0658705777207,0.75,64
"15696","fungi_3755m.csv",0.347150259067358,8.06586881016016,0.75,64
