"","Name","Sample","Percent","Times","Area"
"155","Bacteria_5120m.csv",16,0.75,5,14.4844469794659
"156","Bacteria_5120m.csv",16,0.75,6,16.5721290074355
"157","Bacteria_5120m.csv",16,0.75,7,14.7721685549177
"158","Bacteria_5120m.csv",16,0.75,8,15.0122479704145
"159","Bacteria_5120m.csv",16,0.75,9,14.3872207745476
"160","Bacteria_5120m.csv",16,0.75,10,15.58339428789
"161","Bacteria_5120m.csv",17,0.75,1,18.0326742635034
"162","Bacteria_5120m.csv",17,0.75,2,16.2682510629723
"163","Bacteria_5120m.csv",17,0.75,3,17.4205528710222
"164","Bacteria_5120m.csv",17,0.75,4,16.9746384913995
"165","Bacteria_5120m.csv",17,0.75,5,17.1688139564473
"166","Bacteria_5120m.csv",17,0.75,6,17.1110950526096
"167","Bacteria_5120m.csv",17,0.75,7,19.2080449069204
"168","Bacteria_5120m.csv",17,0.75,8,17.4178821133796
"169","Bacteria_5120m.csv",17,0.75,9,18.47482820475
"170","Bacteria_5120m.csv",17,0.75,10,17.8721398349075
"171","Bacteria_5120m.csv",18,0.75,1,18.6257436114233
"172","Bacteria_5120m.csv",18,0.75,2,13.3533321765006
"173","Bacteria_5120m.csv",18,0.75,3,15.1022884190265
"174","Bacteria_5120m.csv",18,0.75,4,14.5887501364924
"175","Bacteria_5120m.csv",18,0.75,5,15.9514283254937
"176","Bacteria_5120m.csv",18,0.75,6,14.4278469314787
"177","Bacteria_5120m.csv",18,0.75,7,14.3475897090126
"178","Bacteria_5120m.csv",18,0.75,8,15.9031990593577
"179","Bacteria_5120m.csv",18,0.75,9,14.1445361683129
"180","Bacteria_5120m.csv",18,0.75,10,14.4508859210865
"181","Bacteria_5120m.csv",19,0.75,1,17.7139438653302
"182","Bacteria_5120m.csv",19,0.75,2,15.182357290588
"183","Bacteria_5120m.csv",19,0.75,3,18.2216552982695
"184","Bacteria_5120m.csv",19,0.75,4,17.4504117055823
"185","Bacteria_5120m.csv",19,0.75,5,19.1827663818146
"186","Bacteria_5120m.csv",19,0.75,6,16.5774916073035
"187","Bacteria_5120m.csv",19,0.75,7,17.3800047440014
"188","Bacteria_5120m.csv",19,0.75,8,16.7393263453331
"189","Bacteria_5120m.csv",19,0.75,9,16.1952280421388
"190","Bacteria_5120m.csv",19,0.75,10,15.8744165317519
"191","Bacteria_5120m.csv",20,0.75,1,11.6295748654982
"192","Bacteria_5120m.csv",20,0.75,2,14.6746359420146
"193","Bacteria_5120m.csv",20,0.75,3,12.5600763626208
"194","Bacteria_5120m.csv",20,0.75,4,13.4833899860005
"195","Bacteria_5120m.csv",20,0.75,5,13.0764867702471
"196","Bacteria_5120m.csv",20,0.75,6,13.2297980503638
"197","Bacteria_5120m.csv",20,0.75,7,12.3207595890026
"198","Bacteria_5120m.csv",20,0.75,8,13.3667715395368
"199","Bacteria_5120m.csv",20,0.75,9,12.73319684951
"200","Bacteria_5120m.csv",20,0.75,10,11.0143310090066
